,date,tweet,cleaned_tweet
1145,2021-10-01 12:13:36,post your #cashapp #paypal #venmo #bitcoin #GoFundMe #gcash   rt ! tweet + DONE,post your         rt ! tweet + DONE
1146,2021-10-01 12:13:06,"🧵/4. Going back to other subsystems , a study at 2017 has concluded the following Gini values for #BTC and #ETH Almost in all subsystem Bitcoin has a lower Gini value which means more decentralization; Mining, Node, developer and clients.  https://t.co/2yRx5izNvP","🧵/4. Going back to other subsystems , a study at 2017 has concluded the following Gini values for  and  Almost in all subsystem Bitcoin has a lower Gini value which means more decentralization; Mining, Node, developer and clients.  "
1147,2021-10-01 12:12:56,If Satoshi Nakamoto was still alive he would sell all his #Bitcoin for #Dogecoin right now!   #Dogearmy 🚀💎🤝,If Satoshi Nakamoto was still alive he would sell all his  for  right now!    🚀💎🤝
1148,2021-10-01 12:12:52,"Bitcoin would be convenient for people who don't have a credit card or don't want to use the cards they have, either don't want the spouse to see it on the bill or don't trust giving their number to ""porn guys"", or afraid of recurring billing.","Bitcoin would be convenient for people who don't have a credit card or don't want to use the cards they have, either don't want the spouse to see it on the bill or don't trust giving their number to ""porn guys"", or afraid of recurring billing."
1149,2021-10-01 12:12:21,Dinner for Pepe for the next 2-3 months . When 1000% pump ? 💎🙌  #crypto styles   #cryptocurrencies #cryptocurrency #hodl $btc $eth  https://t.co/Qv2ljm10Rd,Dinner for Pepe for the next 2-3 months . When 1000% pump ? 💎🙌   styles      $btc $eth  
1150,2021-10-01 12:11:42,"Fiat money printing seems to have no end in sight, what kind of base would you like to see used in a currency reset?  #goldstandard #gold #silverstandard #silver #BTC #bitcoin #SDRs #soundmoney #Currency #currencyreset","Fiat money printing seems to have no end in sight, what kind of base would you like to see used in a currency reset?           "
1151,2021-10-01 12:11:32,"As a purist, I only charge men for texting via bitcoin. 😝","As a purist, I only charge men for texting via bitcoin. 😝"
1152,2021-10-01 12:11:15,"🧑‍🏫 Today is the expiry for 10/1 Futures #OKEx, the current amount to be rolled or expired is $82m — $65m are $BTC futures &amp; $17m are $ETH futures. The settlement price is a 7:00 - 8:00 am (UTC) 1-hour TWAP of the respective @OKEx indices ⏬ #BTC #ETH","🧑‍🏫 Today is the expiry for 10/1 Futures , the current amount to be rolled or expired is $82m — $65m are $BTC futures &amp; $17m are $ETH futures. The settlement price is a 7:00 - 8:00 am (UTC) 1-hour TWAP of the respective  indices ⏬  "
1153,2021-10-01 12:11:07,It's that simple  https://t.co/OeMNaOuyXk,It's that simple  
1155,2021-10-01 12:09:12,idk what a bitcoin is,idk what a bitcoin is
1156,2021-10-01 12:09:11,Consolidation with $xyo looks sexy AF on $btc and $eth pairings   Give it time. Patience!! ☕️🐸💎🙌  #xyo #crypto #cryptocurrencies #cryptocurrency #altseason #altcoins  https://t.co/wfYCJBkcJV,Consolidation with $xyo looks sexy AF on $btc and $eth pairings   Give it time. Patience!! ☕️🐸💎🙌         
1157,2021-10-01 12:09:07,Philippine Peso has devalued A LOT this year. Cost of living in the Philippines will be much more expensive for us Filipinos in the future if the trend remains the same.  Will you be sticking your money in PH banks or will you HODL it elsewhere like #Bitcoin? 🤔  https://t.co/6QwX1TSJya,Philippine Peso has devalued A LOT this year. Cost of living in the Philippines will be much more expensive for us Filipinos in the future if the trend remains the same.  Will you be sticking your money in PH banks or will you HODL it elsewhere like ? 🤔  
1158,2021-10-01 12:08:30,Upsie. #Bitfinex 100% manipulated $BTC (#Bitcoin) price and judge agrees on!   What you gonna do?,Upsie.  100% manipulated $BTC () price and judge agrees on!   What you gonna do?
1159,2021-10-01 12:08:25,"I almost feel bad for gold bugs. They have the problem figured out mostly, but have the wrong solution. Gold failed as money for a reason. It is expensive to transport over physical space. Bitcoin is better at being gold than gold is. They are too tunnel visioned","I almost feel bad for gold bugs. They have the problem figured out mostly, but have the wrong solution. Gold failed as money for a reason. It is expensive to transport over physical space. Bitcoin is better at being gold than gold is. They are too tunnel visioned"
1161,2021-10-01 12:06:42,@ArthurMbitcoin #Bitcoin #BTC  https://t.co/h95RUmAFpg,    
1162,2021-10-01 12:06:27,"🧵/3. A recent study has compared the ownership Gini Coff, for #ETH &amp; #BTC.  Interestingly not only BTC has a lower #Gini (= higher decentralization), but this decentralization is rising. ETH’s ownership decentralization is decreasing since 2019!  https://t.co/5sl21weYEQ  https://t.co/NPr5v0eXGT","🧵/3. A recent study has compared the ownership Gini Coff, for  &amp; .  Interestingly not only BTC has a lower  (= higher decentralization), but this decentralization is rising. ETH’s ownership decentralization is decreasing since 2019!  ://"
1163,2021-10-01 12:06:25,"DECENTRALIZATION; A QUICK LOOK INTO #BTC &amp; #ETH 🧵/1. Decentralized systems are composed of subsystems, then to analyze decentralization of a public blockchains, we need to break this study into a blockchain’s subsystems.  https://t.co/5jvjPlvKNf  https://t.co/qtwWb6Pt4W","DECENTRALIZATION; A QUICK LOOK INTO  &amp;  🧵/1. Decentralized systems are composed of subsystems, then to analyze decentralization of a public blockchains, we need to break this study into a blockchain’s subsystems.  ://"
1164,2021-10-01 12:06:20,#FF Best2follow👍🌛 @Teaching_Crypto @DonYakka @j0hnnyw00 @CoinLegs @ToolHead8 @WiseAnalyze @JohnHunterGems @THE_FLASH_G @CryptoNewton @0xRadar @BITCOINTRAPPER @CryptoTony__ @futrii  @CryptoWizardd @Teaching_Crypto @RaverCrypto @Mojo_Crypto_BTC @bigchiefcrypto @SatoshiOwl  https://t.co/MIOGGjK8KT, Best2follow👍🌛                      
1166,2021-10-01 12:05:23,"We have several listing deals in place with some great exchanges for Dogecoin 2.0! #doge2 is the future of finance! Together our community (the best in the world) will stand up to corrupt governments, central banks, and institutions, &amp; we will never stop fighting! $btc $eth $xrp","We have several listing deals in place with some great exchanges for Dogecoin 2.0!  is the future of finance! Together our community (the best in the world) will stand up to corrupt governments, central banks, and institutions, &amp; we will never stop fighting! $btc $eth $xrp"
1167,2021-10-01 12:04:51,"If you have 💎🙌, join my telegram! 😉  We talk #NFTs and #Bitcoin! 😃   https://t.co/wpKlYTxqHV","If you have 💎🙌, join my telegram! 😉  We talk  and ! 😃   "
1168,2021-10-01 12:04:40,"@RepCawthorn The Bitcoin Standard.  you'll get there,.  it happens on an individual level."," The Bitcoin Standard.  you'll get there,.  it happens on an individual level."
1170,2021-10-01 12:01:52,$30 REROLL 💸 60 minutes  Must retweet this and follow me,$30 REROLL 💸 60 minutes  Must retweet this and follow me
1171,2021-10-01 12:01:49,"“If you own #Bitcoin, your best days are ahead of you.” -@jimmysong","“If you own , your best days are ahead of you.” -"
1172,2021-10-01 12:01:44,Do I respin on my largest purchase of the month or take my winnings and go home and stop being greedy? I have about 7 extra spins… @fold_app #bitcoin  😣😣😣  https://t.co/Wy6lYyFINS,Do I respin on my largest purchase of the month or take my winnings and go home and stop being greedy? I have about 7 extra spins…    😣😣😣  
1173,2021-10-01 12:01:36,"Crypto uses less energy than the international transport of all the world’s goods, so we should stop transporting goods before we fuss over bitcoin mines.","Crypto uses less energy than the international transport of all the world’s goods, so we should stop transporting goods before we fuss over bitcoin mines."
1174,2021-10-01 12:01:26,"If you know, you know.  #Bitcoin  https://t.co/FI2lTDrZ5W","If you know, you know.    "
1175,2021-10-01 12:00:32,How would you like to pay for your favorite munchies via DogeCoin? It could soon be a reality.  @Verifone @dogecoin @BitPay @tacobell   #BSCNews #CryptoNews #Crypto #Doge #Bitcoin  https://t.co/cI5pRDtnYP,How would you like to pay for your favorite munchies via DogeCoin? It could soon be a reality.              
1178,2021-10-01 11:59:59,Majors for the day telegram sent 6 am #forex #gold #oil #dow #silver #dax #ndx #btc #eth #gbpusd #eurusd  https://t.co/WdB8BTkQFl,Majors for the day telegram sent 6 am             
1180,2021-10-01 11:59:44,There are 37 new emojis. But the illustrator’s reason behind the new melting face emoji has me dyinggggg 😂  https://t.co/RfLfI0ngNp,There are 37 new emojis. But the illustrator’s reason behind the new melting face emoji has me dyinggggg 😂  
1181,2021-10-01 11:59:35,"My Bull/Bear Cloud (BBC) applied to the S&amp;P 500.  First time red 🔴 again since March 2020.  As #BTC is affected by the stock market, not a good sign.  https://t.co/3kgzERc0Xb","My Bull/Bear Cloud (BBC) applied to the S&amp;P 500.  First time red 🔴 again since March 2020.  As  is affected by the stock market, not a good sign.  "
1183,2021-10-01 11:59:08,Shill me the next x100 crypto 👀🤑  $VRA $BTC $XRP $ADA $ETH $DOGE $SOL $STRONG $RSR,Shill me the next x100 crypto 👀🤑  $VRA $BTC $XRP $ADA $ETH $DOGE $SOL $STRONG $RSR
1184,2021-10-01 11:58:36,$LUNA.X looking at $280 by november? The pieces on the chess board are being moved around. There is more than enough liquidity in useless coins to get us to $1k.  #btc #eth  https://t.co/fAWGBqMaPB,$LUNA.X looking at $280 by november? The pieces on the chess board are being moved around. There is more than enough liquidity in useless coins to get us to $1k.     
1185,2021-10-01 11:58:32,Top Trader Positions! 👀  Bulls are back? 🔹 $BTC 49% Short!  🔹 $ETH 55% Short! 🔹 $FIL  65% Long! 🔹 $DOT 54% Long!  Trade on #HuobiFutures 👇,Top Trader Positions! 👀  Bulls are back? 🔹 $BTC 49% Short!  🔹 $ETH 55% Short! 🔹 $FIL  65% Long! 🔹 $DOT 54% Long!  Trade on  👇
1186,2021-10-01 11:58:28,"Don't ya'll forget -- being this early in Bitcoin, crypto, digital assets ... we are pioneers. Revolutionaries. This is all going to change the world ... it's already happening.  And you and I are a part of making world history - Together. 🔄 Retweet if you agree.","Don't ya'll forget -- being this early in Bitcoin, crypto, digital assets ... we are pioneers. Revolutionaries. This is all going to change the world ... it's already happening.  And you and I are a part of making world history - Together. 🔄 Retweet if you agree."
1187,2021-10-01 11:58:21,BTC Daily looks so sexy ~ we will be seeing BTC at 50K soon.  #BTC #bitcoin  https://t.co/rNLTJqDflL,BTC Daily looks so sexy ~ we will be seeing BTC at 50K soon.     
1188,2021-10-01 11:57:57,$LTCN is leading the pack. Such a great way to get exposure to litecoin from your retirement accounts.  https://t.co/pPmydf0ZUA,$LTCN is leading the pack. Such a great way to get exposure to litecoin from your retirement accounts.  
1189,2021-10-01 11:57:43,💠💠💠MXS💠💠💠  •°•°•°•○●°•°●○•°•°•°• #mxs A way to live an amazing and vibrant life  一种过上令人惊叹和充满活力的生活的方式 °•°•°•°○●•°•●○°•°•°•°   https://t.co/fWXusN9Ann👈  #epro #mxs #bitcoin  #Ethereum #cryptocurrency #cryptocurrencies #bnb  #shib  https://t.co/WXflbHfwfV,💠💠💠MXS💠💠💠  •°•°•°•○●°•°●○•°•°•°•  A way to live an amazing and vibrant life  一种过上令人惊叹和充满活力的生活的方式 °•°•°•°○●•°•●○°•°•°•°   👈             
1190,2021-10-01 11:57:03,"Many questions.  How many remittances are being sent via Bitcoin or Lightning outside of Chivo?  How much of Chivo is USD&gt;USD, and how much touches BTC or LN?  How many Salvadorans are withdrawing their Chivo balance immediately into cash or non-custodial BTC?","Many questions.  How many remittances are being sent via Bitcoin or Lightning outside of Chivo?  How much of Chivo is USD&gt;USD, and how much touches BTC or LN?  How many Salvadorans are withdrawing their Chivo balance immediately into cash or non-custodial BTC?"
1191,2021-10-01 11:56:41,"The Iranian government has lifted a temporary ban on #Bitcoin mining that was imposed back in May, Iran International reports.","The Iranian government has lifted a temporary ban on  mining that was imposed back in May, Iran International reports."
1192,2021-10-01 11:56:31,"When the Fed prints money to fund something, one set of people are being stolen from to pay another set of people.  And the people that are being stolen from are some of the poorest and most vulnerable in the world.  #Bitcoin corrects this injustice.","When the Fed prints money to fund something, one set of people are being stolen from to pay another set of people.  And the people that are being stolen from are some of the poorest and most vulnerable in the world.   corrects this injustice."
1193,2021-10-01 11:56:16,$ELA so cutie. &lt;3 LFG #Elastos #Bitcoin #Ethereum $BTC $ETH  https://t.co/eMn1zFVHYG,$ELA so cutie. &lt;3 LFG    $BTC $ETH  
1194,2021-10-01 11:55:15,IM RIGHT AGAIN..little dip to buy before 100 m mcap incoming ! $klee @KleeKaiETH $saita  $doge $shiba $akita $kishu $hokk #Wolfpack $bsaita $bkishu $bdoge $dog $btc $eth $ada $sol $one $leash $bone $ryoshi $floki $hoge $yooshi #saitama #SaitamaWolfPack #SaitaMas  https://t.co/aYKW8RqvtX,IM RIGHT AGAIN! $klee  $saita  $doge $shiba $akita $kishu $hokk  $bsaita $bkishu $bdoge $dog $btc $eth $ada $sol $one $leash $bone $ryoshi $floki $hoge $yooshi     
1195,2021-10-01 11:55:13,"The Salvadoran government claims $1M in remittances are received through Chivo every day.  *If true* (big if) this means that the state-run Bitcoin app is transporting about 6% of El Salvador's annual $6 billion in remittances, which adds up to more than 1% of the nation's GDP.","The Salvadoran government claims $1M in remittances are received through Chivo every day.  *If true* (big if) this means that the state-run Bitcoin app is transporting about 6% of El Salvador's annual $6 billion in remittances, which adds up to more than 1% of the nation's GDP."
1196,2021-10-01 11:55:05,WOW.  LTC/BTC 👀   5 minutes until it’s October! 🎃 👻   #Crypto #Litecoin #LTC $LTC  https://t.co/eYvcyPuT3a,WOW.  LTC/BTC 👀   5 minutes until it’s October! 🎃 👻      $LTC  
1197,2021-10-01 11:55:04,13 colonies started the American Revolution  11 #Bitcoin meet ups will be at the west coast Christmas party  Do the math and run the numbers  https://t.co/KqQ9pYIFpg,13 colonies started the American Revolution  11  meet ups will be at the west coast Christmas party  Do the math and run the numbers  
1198,2021-10-01 11:54:39,@CryptoWhale Congrats on the new Coinbase position. They’re heavy #bitcoin FYI 😉, Congrats on the new Coinbase position. They’re heavy  FYI 😉
1199,2021-10-01 11:54:29,Join Telegram :  https://t.co/wz4MUOS9Kg The giveaway result is known in the telegram,Join Telegram :  
1200,2021-10-01 11:54:14,"$10,000 in $BTC To A Random Person Just Follows &amp; Retweets  Best Of Luck...","$10,000 in $BTC To A Random Person Just Follows &amp; Retweets  Best Of L"
1202,2021-10-01 11:52:31,Time to start buying a ton before CEO start buying...  $sbecom  https://t.co/TSO8tZb0n1,Time to start buying a ton before CEO start $sbecom  
1203,2021-10-01 11:52:12,"This is actually a worth read.. ✌🏼 I strongly believe @EverRise’s token $RISE will share the huge market capitalisation with BTC, ETH, ADA.. their use-cases are worth to HODL 💪🏼 @TitanEverRise #BNB #cryptocurrencies #BinanceSmartChain #ETH #MATIC #EVEROWN #EVERBRIDGE","This is actually a worth read.. ✌🏼 I strongly believe ’s token $RISE will share the huge market capitalisation with BTC, ETH, ADA.. their use-cases are worth to HODL 💪🏼        "
1204,2021-10-01 11:50:23,@DanDarkPill I hear this is the very moment he invented taproot, I hear this is the very moment he invented taproot
1206,2021-10-01 11:48:45,@marceelias Ozy Media is the WeWork bitcoin of future digital comms.  no worries. you have been busy doing righteousness for democracy., Ozy Media is the WeWork bitcoin of future digital comms.  no worries. you have been busy doing righteousness for democracy.
1207,2021-10-01 11:47:35,"- Panama introduces bill to recognize Bitcoin as global payment method - Ukraine legalizes Bitcoin - The government told us that if you don’t count “beef, pork and poultry, grocery prices are in line with historic norms”","- Panama introduces bill to recognize Bitcoin as global payment method - Ukraine legalizes Bitcoin - The government told us that if you don’t count “beef, pork and poultry, grocery prices are in line with historic norms”"
1208,2021-10-01 11:47:10,"Not sure why I keep doing this to myself, but I will be reviewing all three of the newly released @alexgoBtc whitepapers next SubStack  Stay tuned!","Not sure why I keep doing this to myself, but I will be reviewing all three of the newly released  whitepapers next SubStack  Stay tuned!"
1209,2021-10-01 11:46:49,@BowTiedFellow @BowTiedPatriot @BowTiedMooneeb @BowTiedArcticWo *Bowtied crew assembles*  https://t.co/ijMyT7IMBW,    *Bowtied crew assembles*  
1210,2021-10-01 11:46:11,New Month New ₿ ❤,New Month New ₿ ❤
1211,2021-10-01 11:46:07,@DanielJoe916 $40k is the $30k. Hold the line and #BTC looking good for Q4, $40k is the $30k. Hold the line and  looking good for Q4
1212,2021-10-01 11:45:58,Whale found! #BTC on #Zilliqa  https://t.co/2UhPQ86j8J,Whale found!  on   
1213,2021-10-01 11:45:29,The future is full of dreams but are you dreaming?  #BTC #BNB #CAKE 🥞,The future is full of dreams but are you dreaming?     🥞
1214,2021-10-01 11:45:11,"Bitcoin rises 5.2% to $43,717  https://t.co/g2Up89IyEx  https://t.co/xJEJhTukaw","Bitcoin rises 5.2% to $43,717  ://"
1215,2021-10-01 11:45:00,"📣 #NIMActive October 2021 is ON!  From October 1 to 31, 2021  Are you most active user in #Nimiq 's PH Telegram? Top active user will receive 4-digit NIM ⬣ ! Just play games, chat &amp; more! Join us to win NIM:  https://t.co/I8BToXT4Tl   Let's go #Bitcoin  @coinkit_ mon 1 100 $NIM  https://t.co/T4nlj79dMs","📣  October 2021 is ON!  From October 1 to 31, 2021  Are you most active user in  's PH Telegram? Top active user will receive 4-digit NIM ⬣ ! Just play games, chat &amp; more! Join us to win NIM:  's go    mon 1 100 $NIM  "
1216,2021-10-01 11:44:40,@OzraeliAvi The wrong premier resigned today, The wrong premier resigned today
1217,2021-10-01 11:44:35,"GM $RVP @Rev_Populi family. Welcome to Q4. Sit tight, buckle up, and enjoy your ride to the moon. #Bitcoin $SOL $ADA $FTM $UNI $DYDX","GM $RVP  family. Welcome to Q4. Sit tight, buckle up, and enjoy your ride to the moon.  $SOL $ADA $FTM $UNI $DYDX"
1218,2021-10-01 11:44:31,"When I’m scrolling social media, and see arbitrary lines drawn on a chart by a TA expert…I giggle. 🙅🏻‍♂️ Please don’t do this, market doesn’t care if you drew a line. And there are endless possibilities of how to draw them. #Crypto $btc  https://t.co/7UdbyKPaIU","When I’m scrolling social media, and see arbitrary lines drawn on a chart by a TA expert…I giggle. 🙅🏻‍♂️ Please don’t do this, market doesn’t care if you drew a line. And there are endless possibilities of how to draw them.  $btc  "
1219,2021-10-01 11:44:26,Ian.BTC (Bitcoin guy) set to appear on SMTM 10  https://t.co/JadBVy9ZEg,Ian.BTC (Bitcoin guy) set to appear on SMTM 10  
1221,2021-10-01 11:43:41,The U.S. national debt increases by roughly 2 BTC per second.,The U.S. national debt increases by roughly 2 BTC per second.
1222,2021-10-01 11:43:28,"Boomers with their wealth could easily price the younger generation out of #bitcoin.  Thankfully most don’t get it, and the wealth transfer will happen while they look on stupified.","Boomers with their wealth could easily price the younger generation out of .  Thankfully most don’t get it, and the wealth transfer will happen while they look on stupified."
1223,2021-10-01 11:43:19,"@DanielJoe916 Return/risk ratio for #BTC is high  Say 5-year target for BTC is $200k, risk is $20k, risk is potential loss 50%, but upside is 400% return.  At 10% inflation per year (conservative estimates), #fiat after 5 years it's 60% of original value. Guaranteed 40% loss, with ZERO upside."," Return/risk ratio for  is high  Say 5-year target for BTC is $200k, risk is $20k, risk is potential loss 50%, but upside is 400% return.  At 10% inflation per year (conservative estimates),  after 5 years it's 60% of original value. Guaranteed 40% loss, with ZERO upside."
1224,2021-10-01 11:43:15,"“All patents do is they slow down competitors. It’s like you are a ship and you are dropping mines to slow down other ships. We don’t want to drop the mines. True competitive advantage is about your rate of innovation, not about how much you slow others down.” - Elon Musk","“All patents do is they slow down competitors. It’s like you are a ship and you are dropping mines to slow down other ships. We don’t want to drop the mines. True competitive advantage is about your rate of innovation, not about how much you slow others down.” - Elon Musk"
1226,2021-10-01 11:41:51,/biz/ everytime their bitcoin drops,/biz/ everytime their bitcoin drops
1227,2021-10-01 11:41:39,We live in a time where we can buy coffee with #Bitcoin at @Starbucks !  #InternationalCoffeeDay  https://t.co/XCz5CLVlnt,We live in a time where we can buy coffee with  at  !    
1228,2021-10-01 11:41:01,I have 100 acres that I'm willing to open source to bitcoiners.  Let's open source this land!!!  #bitcoin  https://t.co/te3TjrWIAh,I have 100 acres that I'm willing to open source to bitcoiners.  Let's open source this land!!!    
1229,2021-10-01 11:40:42,"We need to talk more about this  A sitting elected representative of the most powerful government in the world just seriously suggested America not only return to the gold standard  But also tie the USD, the most stable currency in mankind, to Bitcoin","We need to talk more about this  A sitting elected representative of the most powerful government in the world just seriously suggested America not only return to the gold standard  But also tie the USD, the most stable currency in mankind, to Bitcoin"
1230,2021-10-01 11:40:13,"Close above the rising trendline at 44k, 44.3k, and 45.1k and I will turn near term #bullish on #BTC technicals.  4 hour chart is slowly improving. Would like to see price push above the rising trendline, flip as support and start testing 44.3k and 45.1k.  https://t.co/S7woZK1pYz","Close above the rising trendline at 44k, 44.3k, and 45.1k and I will turn near term  on  technicals.  4 hour chart is slowly improving. Would like to see price push above the rising trendline, flip as support and start testing 44.3k and 45.1k.  "
1231,2021-10-01 11:40:09,"If you don’t like what you think NFT energy usage is, wait ‘til you find out about container ship energy usage. Wayyyy higher than Bitcoin, and wayyyy less green -   https://t.co/PMLdx8KvDW","If you don’t like what you think NFT energy usage is, wait ‘til you find out about container ship energy usage. Wayyyy higher than Bitcoin, and wayyyy less green -   "
1232,2021-10-01 11:39:00,$DOGE Higher risk then $BTC $ETH $LTC but drew a supply zone here (took upper wick then lowest body 2 candle basing) as supply zone which is roughly .297 or 30 cents pysch. Bottom demand zone is not fresh (been touched multiple times) so just there for demonstrative purposes.  https://t.co/0KgcoI4bgg,$DOGE Higher risk then $BTC $ETH $LTC but drew a supply zone here (took upper wick then lowest body 2 candle basing) as supply zone which is roughly .297 or 30 cents pysch. Bottom demand zone is not fresh (been touched multiple times) so just there for demonstrative purposes.  
1233,2021-10-01 11:38:50,Trying to follow all the #Bitcoin maxis out there.,Trying to follow all the  maxis out there.
1234,2021-10-01 11:38:19,Every token listed on Saren has their Twitter feed automatically fetched to our platform!   One of our community's favourite features to give them a quick look at a token's community.   Try our app for free now  https://t.co/0HyBaVxDCA  #cryptocurrency #eth #bitcoin  #blockchain,Every token listed on Saren has their Twitter feed automatically fetched to our platform!   One of our community's favourite features to give them a quick look at a token's community.   Try our app for free now    
1235,2021-10-01 11:37:16,"Asking if #bitcoin is going over 100k is like asking if the sun is coming up the next morning. Tick tock, next block…","Asking if  is going over 100k is like asking if the sun is coming up the next morning. Tick tock, next block…"
1236,2021-10-01 11:37:15,"Less than 60 hours left, one lucky winner!","Less than 60 hours left, one lucky winner!"
1237,2021-10-01 11:36:22,Squid Game: Nivel #Bitcoin  https://t.co/OrPF6QWoFd,Squid Game: Nivel   
1240,2021-10-01 11:35:07,@BikesandBitcoin Lol. Why do I feel like I’m going to wake up with a dick drawn on my forehead?, Lol. Why do I feel like I’m going to wake up with a dick drawn on my forehead?
1241,2021-10-01 11:34:41,#Saitama $Saita #SaitamaWolfPack #Crypto #Saitama100k #cryptocurrencies #BTC Still looking very good.  I estimate we might be in for a ride in the next 2 to 3 days.  Might be sooner as @Saitamaguru1  releases more 💣 💣 💣  https://t.co/Lq3EnjzKXj, $Saita      Still looking very good.  I estimate we might be in for a ride in the next 2 to 3 days.  Might be sooner as   releases more 💣 💣 💣  
1242,2021-10-01 11:34:20,@BTCBullALTBear Good luck out there. We'll see you when you get back., Good luck out there. We'll see you when you get back.
1243,2021-10-01 11:33:44,"Come join @BowTiedPatriot, @BowTiedMooneeb, @BowTiedArcticWo and I tomorrow morning at 11am EST as we gather MiamiCoin Intel from the Founder of FreeHold and MiamiCoin Community Lead himself @PatrickWStanley   Should be a fun one😆   https://t.co/ps05txKgAD","Come join , ,  and I tomorrow morning at 11am EST as we gather MiamiCoin Intel from the Founder of FreeHold and MiamiCoin Community Lead himself    Should be a fun one😆   "
1244,2021-10-01 11:33:16,You can not stop it.   #bitcoin,You can not stop it.   
1246,2021-10-01 11:32:18,"@AriZonanHODL I cooked down about five ounces into like maybe 350ml of propylene glycol. I usually take a tsp (5ml) if I want to feel like I ate a brownie. Just dude that, and instead of grabbing the water to wash it down with, I grabbed the fucking jar of PG and took a gulp. 😬"," I cooked down about five ounces into like maybe 350ml of propylene glycol. I usually take a tsp (5ml) if I want to feel like I ate a brownie. Just dude that, and instead of grabbing the water to wash it down with, I grabbed the fucking jar of PG and took a gulp. 😬"
1247,2021-10-01 11:31:43,"@88Adnanc @TechDev_52 Last bull run in 2017, alts peaked two weeks after btc.","  Last bull run in 2017, alts peaked two weeks after btc."
1248,2021-10-01 11:31:32,"You can get chopped trading BitCoin and Etherium, or you can long the God Coin $OMG with us. Your decision. When you are ready, the Faith will welcome you with open arms. s/o @cryptoalle  https://t.co/YzaXfg6JM8","You can get chopped trading BitCoin and Etherium, or you can long the God Coin $OMG with us. Your decision. When you are ready, the Faith will welcome you with open arms. s/o   "
1249,2021-10-01 11:31:22,Volcanic growth happening in El Salvador right now.  Remember this next time someone says that Bitcoin has no use case.,Volcanic growth happening in El Salvador right now.  Remember this next time someone says that Bitcoin has no use case.
1250,2021-10-01 11:31:15,Bitcoin Crypto News: Fed’s Powell has no intent to ban Bitcoin or crypto  All eyes on Crypto Bitcoin NFT related stocks   https://t.co/VSDX2dOMva,Bitcoin Crypto News: Fed’s Powell has no intent to ban Bitcoin or crypto  All eyes on Crypto Bitcoin NFT related stocks   
1254,2021-10-01 11:29:27,Five mins and a few bucks to get another transaction from Bitcoin to $HMBL wallet. Notice the times of transactions and how fast it showed up! #Crypto #NFTs #defi  https://t.co/pBIKIQ6P4z,Five mins and a few bucks to get another transaction from Bitcoin to $HMBL wallet. Notice the times of transactions and how fast it showed up!     
1256,2021-10-01 11:28:42,Smells $ELA breakout today right? @CryptoWizardd? #Elastos $BTC $ETH $ALTS #web3  https://t.co/QEqj95bXsF,Smells $ELA breakout today right? ?  $BTC $ETH $ALTS   
1257,2021-10-01 11:28:21,"To be clear, I don’t really care what he does or doesn’t do when it comes to $TSLA. But he was someone I used to listen to sometimes, I won’t be anymore.","To be clear, I don’t really care what he does or doesn’t do when it comes to $TSLA. But he was someone I used to listen to sometimes, I won’t be anymore."
1259,2021-10-01 11:27:39,I'm in the mood to burn some money. Y'all know what it means.. Exactly it's time to gamble in the online casino  Chop chop fill up my crypto balance and watch how fast I can burn your money  Catfish catfishfindom findom cryptofindom crypto btc bitcoin eth ltc  https://t.co/wHqCzrZag0,I'm in the mood to burn some money. Y'all know what it means.. Exactly it's time to gamble in the online casino  Chop chop fill up my crypto balance and watch how fast I can burn your money  Catfish catfishfindom findom cryptofindom crypto btc bitcoin eth ltc  
1260,2021-10-01 11:27:19,@nayibbukele @chivowallet If @michael_saylor started the investment thesis for #Bitcoin @nayibbukele started the adoption thesis for #Bitcoin  https://t.co/jQ3MWSIr0X,  If  started the investment thesis for   started the adoption thesis for   
1261,2021-10-01 11:27:10,El Salvador's economy grew by 24.5% in the second quarter of 2021. @nayibbukele   #Bitcoin  🇸🇻🏆🇸🇻🏆🇸🇻  https://t.co/B9prZg2SYB,El Salvador's economy grew by 24.5% in the second quarter of 2021.      🇸🇻🏆🇸🇻🏆🇸🇻  
1262,2021-10-01 11:26:52,Just takes away his credibility. Saying one thing and doing something else.,Just takes away his credibility. Saying one thing and doing something else.
1263,2021-10-01 11:26:23,"Pretty sure I just accidentally swallowed something like 500-750mg of THC on accident. What should I expect, to just sleep until noon tomorrow and then be drowsy as fuck for a couple days?","Pretty sure I just accidentally swallowed something like 500-750mg of THC on accident. What should I expect, to just sleep until noon tomorrow and then be drowsy as fuck for a couple days?"
1266,2021-10-01 11:25:59,The biggest risk is not allocating into #BTC. Your paper money is being devalued. The assets you need in life continue to inflate.,The biggest risk is not allocating into . Your paper money is being devalued. The assets you need in life continue to inflate.
1267,2021-10-01 11:25:41,@Helloimmorgan Bitcoin fixes this, Bitcoin fixes this
1268,2021-10-01 11:25:40,"Short Bitcoin, Long Peso Argentino de Papel.  https://t.co/cFuhdCh1CU","Short Bitcoin, Long Peso Argentino de Papel.  "
