,date,tweet,cleaned_tweet,sentiment
1104,2021-10-01 12:32:55,"Billy Markus, the co-founder of #Doge, explained that an Ethereum bridge to the Doge network would bolster the #dogecoin ecosystem.  https://t.co/JzlBsN2AR0","Billy Markus, the co-founder of , explained that an Ethereum bridge to the Doge network would bolster the  ecosystem.  ",0.9906550049781799
1105,2021-10-01 12:32:52,@HaileyLennonBTC Bitcoin melting faces., Bitcoin melting faces.,0.9871509075164795
1106,2021-10-01 12:32:22,"#Bitcoin and #cryptocurrencies will be here to stay as they are required for us to move into the next phrase of our financial system.  However, pumpamentals/ scam projects will be wiped. Only the fundamentally strong and regulation compliant projects like $LCX will stay."," and  will be here to stay as they are required for us to move into the next phrase of our financial system.  However, pumpamentals/ scam projects will be wiped. Only the fundamentally strong and regulation compliant projects like $LCX will stay.",0.0006221532821655273
1107,2021-10-01 12:32:07,"I am proud to announce the purchase of our 6th Miner!  The Avalon A1066, Clocking in at 50THs. 🐇⚡️  Before you know it WE will build the strongest collective for BTC Mining the world has every seen 🚀🌕   https://t.co/bf85wyk4rW  #minersdefi  #MINERSARMY #bscgem #1000x #bitcoin  https://t.co/wOidL99Vqe","I am proud to announce the purchase of our 6th Miner!  The Avalon A1066, Clocking in at 50THs. 🐇⚡️  Before you know it WE will build the strongest collective for BTC Mining the world has every seen 🚀🌕   ://",0.9876928925514221
1108,2021-10-01 12:31:56,@JessieMorii @jebus911 @udiWertheimer Bitcoin maxi froyo is pure irony tho kind of beautiful,   Bitcoin maxi froyo is pure irony tho kind of beautiful,0.9977014660835266
1109,2021-10-01 12:31:12,"Here is a replay of my $BTC live stream from earlier  - Upside vs downside targets going into Q4 - patiently longing dips in the chop - importance of $40k holding - Alts, ES, Gold, DXY - other alpha   https://t.co/aRad8DkNaL  https://t.co/aRad8DkNaL  RTs &amp; Likes are appreciated","Here is a replay of my $BTC live stream from earlier  - Upside vs downside targets going into Q4 - patiently longing dips in the chop - importance of $40k holding - Alts, ES, Gold, DXY - other alpha   ://&amp; Likes are appreciated",0.042462050914764404
1110,2021-10-01 12:30:54,"I came for the gains but I stayed for the freedom money, people and hope.  #Bitcoin #Btc #LFG","I came for the gains but I stayed for the freedom money, people and hope.    ",0.027218401432037354
1111,2021-10-01 12:30:34,And a matic giveaway scam in the replies to ruin everything again,And a matic giveaway scam in the replies to ruin everything again,0.0002085566520690918
1112,2021-10-01 12:30:02,"When people ask me, “what’s on your mind?”   My only answer is, “#Bitcoin and blockchain!”  Anyone else, or just me? 😅","When people ask me, “what’s on your mind?”   My only answer is, “ and blockchain!”  Anyone else, or just me? 😅",0.0006434321403503418
1113,2021-10-01 12:30:00,"It's not about winning every single trade, it's about the probabilities and taking high quality setups 😎 #Bitcoin #Crypto #Cryptocurrency","It's not about winning every single trade, it's about the probabilities and taking high quality setups 😎   ",0.0005121231079101562
1114,2021-10-01 12:29:50,$BTC not giving a fuck about global markets is an early sign of what's coming.  Only a few understand. 60k$ and beyond for this month. Who is ready and pumped up?,$BTC not giving a fuck about global markets is an early sign of what's coming.  Only a few understand. 60k$ and beyond for this month. Who is ready and pumped up?,0.9835241436958313
1115,2021-10-01 12:29:37,"Loans that pay themselves back, a stable coin on Stacks, a token of their own, all secured by #bitcoin . @ArkadikoFinance is launching soon and we can't wait to be first.  https://t.co/r8VLPqkjFe","Loans that pay themselves back, a stable coin on Stacks, a token of their own, all secured by  .  is launching soon and we can't wait to be first.  ",0.9922318458557129
1116,2021-10-01 12:28:32,"$eRSDL 3/3 -Licensing fees from transactions will be used to repurchase tokens off the market to be burned or distributed to holders. 🔥📈  -Conference Sponsors in LA-LDN-Dubai  The party is about to began, all aboard 🚢🤝😎 #DeFi #Crypto #BTC #ETH  #Finance #CeFi #Bank #VC #alt","$eRSDL 3/3 -Licensing fees from transactions will be used to repurchase tokens off the market to be burned or distributed to holders. 🔥📈  -Conference Sponsors in LA-LDN-Dubai  The party is about to began, all aboard 🚢🤝😎          ",0.0019099116325378418
1119,2021-10-01 12:26:15,Fun Fact: You may feel why $KDA keep going down right ?  The truth is by the September 1st  KDA  only 0.77$  Then hit ATH 2.4$ in 2 weeks. Still strongly up and survived during red market.  Tag-- $CRYPTO $FTM $QBIT $HBAR $LGCY $DOT $XDC  $ADA $BNB $SOL $XRP $ETH $BTC $KCS $DOGE  https://t.co/oWGqTKMuYr,Fun Fact: You may feel why $KDA keep going down right ?  The truth is by the September 1st  KDA  only 0.77$  Then hit ATH 2.4$ in 2 weeks. Still strongly up and survived during red market.  Tag-- $CRYPTO $FTM $QBIT $HBAR $LGCY $DOT $XDC  $ADA $BNB $SOL $XRP $ETH $BTC $KCS $DOGE  ,0.7959979772567749
1120,2021-10-01 12:26:07,"-- #BTC UPDATE --  🔹Red circle will be critical for #Bitcoin, key of EMAs clustered 🔹We are likely to see some sort of resolution today 🔹Breaking the channel is a good sign the correction is over 🔹Clear 45k &amp; close a 4hr above &amp; i'm going heavy long  #Crypto #cryptocurrency  https://t.co/XBt5t6vovy","--  UPDATE --  🔹Red circle will be critical for , key of EMAs clustered 🔹We are likely to see some sort of resolution today 🔹Breaking the channel is a good sign the correction is over 🔹Clear 45k &amp; close a 4hr above &amp; i'm going heavy long     ",0.0013006925582885742
1122,2021-10-01 12:25:52,"I want my first crypto send, while I’m sitting at stupid work 😕 Would be so hot and exciting to see my watch go off with it!!!  Crypto - tips on my profile send via Bitcoin $$$$$  • findom findomaus •","I want my first crypto send, while I’m sitting at stupid work 😕 Would be so hot and exciting to see my watch go off with it!!!  Crypto - tips on my profile send via Bitcoin $$$$$  • findom findomaus •",0.0041384100914001465
1123,2021-10-01 12:25:23,"We caught up with Kevin Zhang (@SinoCrypto), VP of Business Development at @FoundryServices for his take on the China #crypto ban, #Bitcoin mining and more! 🛠  Tune in, learn and feel like you are on the right of the bell curve. 🤝   https://t.co/s9Znv4NEZN","We caught up with Kevin Zhang (), VP of Business Development at  for his take on the China  ban,  mining and more! 🛠  Tune in, learn and feel like you are on the right of the bell curve. 🤝   ",0.9977288842201233
1124,2021-10-01 12:24:47,Are u guys ready to flip to 7?  And how about eat that 0 in weekends?  #kleekai #kleerun #kleearmy #klee #crypto #bitcoin #ethereum  #alt #altcoin #invest #shib #shibainu #saitama #p2e #game #gaming #gamer  https://t.co/PEgYQsVn3H,Are u guys ready to flip to 7?  And how about eat that 0 in weekends?                     ,0.0037941932678222656
1125,2021-10-01 12:24:19,"I need a bitcoin dev to sponsor so I can pay forward all the kindness you toxic folks have been throwing my way.  If anyone has a #bitcoin core developer that they’d recommend/advocate for, let me know in comments/dm’s.  What a time to be alive 💯  https://t.co/f6F9SyHTHP","I need a bitcoin dev to sponsor so I can pay forward all the kindness you toxic folks have been throwing my way.  If anyone has a  core developer that they’d recommend/advocate for, let me know in comments/dm’s.  What a time to be alive 💯  ",0.004483640193939209
1126,2021-10-01 12:23:58,#Bitcoin Q3 YTD 48.21%  Q4 2021 starts tomorrow  Few, Q3 YTD 48.21%  Q4 2021 starts tomorrow  Few,0.026398956775665283
1127,2021-10-01 12:23:47,Best caption go.  Mine: When you panic sell  https://t.co/5FDexIt0pe,Best caption go.  Mine: When you panic sell  ,0.01995372772216797
1128,2021-10-01 12:23:01,🙃  #BTC vs #HEX |  https://t.co/ldZNLGllg6 💥 Watch upcoming show at  https://t.co/rFvy2kGmao  https://t.co/OAHqLsuUCv,🙃   vs  |  💥 Watch upcoming show at  ://,0.025311708450317383
1129,2021-10-01 12:22:45,"I got three ways to make $1,000,000 some tokens might move slower than others but they all going to get me across the finish line. My big three #saitama #klee #SHIB #SaitamaWolfPack #KleeArmy #SHIBARMY #bnb #BTC #Ethereum #altcoin #cryptotwitter #CryptoNews  https://t.co/YP4brwXVBA","I got three ways to make $1,000,000 some tokens might move slower than others but they all going to get me across the finish line. My big three              ",0.63642418384552
1132,2021-10-01 12:21:11,"If this happens, people can purchase NFT's with #Doge and Doge-ETH bridge 💯 Doge ko moon par jaane se rokna Mushkil hi nahi Namumkin hai 🔥  #dogecoin #doge #DogecoinToTheMoon #dogearmy #DogeFam #DogecoinRise #DOGEFAMILY #bitcoin #Ethereum #cryptocurrencies #cryptotwitter #btc","If this happens, people can purchase NFT's with  and Doge-ETH bridge 💯 Doge ko moon par jaane se rokna Mushkil hi nahi Namumkin hai 🔥             ",0.0030913949012756348
1133,2021-10-01 12:21:05,The world has never been more centralized. Defi has never been more important! “Who controls the money control the world.” -Henry Kissinger I believe the people should control the money! Not central banks! They are killing fiat w/ inflation. good for the rich bad for main st $btc,The world has never been more centralized. Defi has never been more important! “Who controls the money control the world.” -Henry Kissinger I believe the people should control the money! Not central banks! They are killing fiat w/ inflation. good for the rich bad for main st $btc,0.012191951274871826
1134,2021-10-01 12:21:04,"#Bitcoin is sound, #bitcoin is clean, #bitcoin is pure.   https://t.co/L7dDyyIDyu  https://t.co/vjXVzUMrAN"," is sound,  is clean,  is pure.   ://",0.9901868104934692
1136,2021-10-01 12:17:36,If BTC hits 150K+ it’s safe to say that $VXV $QNT $ALBT will all three 20X.,If BTC hits 150K+ it’s safe to say that $VXV $QNT $ALBT will all three 20X.,0.0033739805221557617
1137,2021-10-01 12:17:21,Cardano (ADA) price prediction for October 2021   #Cardano #cardanofeed #ADA #crypto #cardanocommunity #bitcoin #altcoin #blockchain #cryptocurrency #cryptonews #btc $ADA  https://t.co/TYDkbOKYPQ,Cardano (ADA) price prediction for October 2021              $ADA  ,0.004637479782104492
1140,2021-10-01 12:15:23,Buying $SHA crypto now is like buying $1 $BTC.  $XPR $UBX $BEPRO $AVAX $DGB $SOL $FTM $MATIC $ONE $XVG $ZIL $TEL $VRA $DSLA,Buying $SHA crypto now is like buying $1 $BTC.  $XPR $UBX $BEPRO $AVAX $DGB $SOL $FTM $MATIC $ONE $XVG $ZIL $TEL $VRA $DSLA,0.002624988555908203
1141,2021-10-01 12:15:10,"If a scenario something like this played out, it would in no way break Bitcoin [which I'm very bullish on... corrections and all]. It would only break models and theories such as s2f, 4 year cycle, and lengthening cycle.","If a scenario something like this played out, it would in no way break Bitcoin [which I'm very bullish ]. It would only break models and theories such as s2f, 4 year cycle, and lengthening cycle.",0.0007866621017456055
1142,2021-10-01 12:15:01,"Daily transaction volume is one indicator of the #Usefulness, #Utility, and #Utilization of any #decentralized public #Cryptocurrency network.   Yesterday, September 30, 2021:   $BTC = 288,254 $ETH = 1,116,157 $HBAR = 3,169,900  #Hedera #Ethereum #ETH #HBAR #Bitcoin  #BTC #Crypto","Daily transaction volume is one indicator of the , , and  of any  public  network.   Yesterday, September 30, 2021:   $BTC = 288,254 $ETH = 1,116,157 $HBAR = 3,169,900         ",0.014248669147491455
1143,2021-10-01 12:14:54,Most recent burns and mints of stable coins.  #Bitcoin  https://t.co/B4Pd5588Qw,Most recent burns and mints of stable coins.    ,0.014536619186401367
1144,2021-10-01 12:14:45,Bitcoin for the liberty.  Monero for the privacy.  Ethereum for the greed.,Bitcoin for the liberty.  Monero for the privacy.  Ethereum for the greed.,0.006780683994293213
1145,2021-10-01 12:13:36,post your #cashapp #paypal #venmo #bitcoin #GoFundMe #gcash   rt ! tweet + DONE,post your         rt ! tweet + DONE,0.0015549063682556152
1146,2021-10-01 12:13:06,"🧵/4. Going back to other subsystems , a study at 2017 has concluded the following Gini values for #BTC and #ETH Almost in all subsystem Bitcoin has a lower Gini value which means more decentralization; Mining, Node, developer and clients.  https://t.co/2yRx5izNvP","🧵/4. Going back to other subsystems , a study at 2017 has concluded the following Gini values for  and  Almost in all subsystem Bitcoin has a lower Gini value which means more decentralization; Mining, Node, developer and clients.  ",0.0017445683479309082
1147,2021-10-01 12:12:56,If Satoshi Nakamoto was still alive he would sell all his #Bitcoin for #Dogecoin right now!   #Dogearmy 🚀💎🤝,If Satoshi Nakamoto was still alive he would sell all his  for  right now!    🚀💎🤝,0.001492321491241455
1148,2021-10-01 12:12:52,"Bitcoin would be convenient for people who don't have a credit card or don't want to use the cards they have, either don't want the spouse to see it on the bill or don't trust giving their number to ""porn guys"", or afraid of recurring billing.","Bitcoin would be convenient for people who don't have a credit card or don't want to use the cards they have, either don't want the spouse to see it on the bill or don't trust giving their number to ""porn guys"", or afraid of recurring billing.",0.0008745789527893066
1149,2021-10-01 12:12:21,Dinner for Pepe for the next 2-3 months . When 1000% pump ? 💎🙌  #crypto styles   #cryptocurrencies #cryptocurrency #hodl $btc $eth  https://t.co/Qv2ljm10Rd,Dinner for Pepe for the next 2-3 months . When 1000% pump ? 💎🙌   styles      $btc $eth  ,0.004361927509307861
1150,2021-10-01 12:11:42,"Fiat money printing seems to have no end in sight, what kind of base would you like to see used in a currency reset?  #goldstandard #gold #silverstandard #silver #BTC #bitcoin #SDRs #soundmoney #Currency #currencyreset","Fiat money printing seems to have no end in sight, what kind of base would you like to see used in a currency reset?           ",0.0003390312194824219
1151,2021-10-01 12:11:32,"As a purist, I only charge men for texting via bitcoin. 😝","As a purist, I only charge men for texting via bitcoin. 😝",0.0021544694900512695
1152,2021-10-01 12:11:15,"🧑‍🏫 Today is the expiry for 10/1 Futures #OKEx, the current amount to be rolled or expired is $82m — $65m are $BTC futures &amp; $17m are $ETH futures. The settlement price is a 7:00 - 8:00 am (UTC) 1-hour TWAP of the respective @OKEx indices ⏬ #BTC #ETH","🧑‍🏫 Today is the expiry for 10/1 Futures , the current amount to be rolled or expired is $82m — $65m are $BTC futures &amp; $17m are $ETH futures. The settlement price is a 7:00 - 8:00 am (UTC) 1-hour TWAP of the respective  indices ⏬  ",0.0038559436798095703
1153,2021-10-01 12:11:07,It's that simple  https://t.co/OeMNaOuyXk,It's that simple  ,0.9891344308853149
1155,2021-10-01 12:09:12,idk what a bitcoin is,idk what a bitcoin is,0.005015969276428223
1156,2021-10-01 12:09:11,Consolidation with $xyo looks sexy AF on $btc and $eth pairings   Give it time. Patience!! ☕️🐸💎🙌  #xyo #crypto #cryptocurrencies #cryptocurrency #altseason #altcoins  https://t.co/wfYCJBkcJV,Consolidation with $xyo looks sexy AF on $btc and $eth pairings   Give it time. Patience!! ☕️🐸💎🙌         ,0.03040635585784912
1157,2021-10-01 12:09:07,Philippine Peso has devalued A LOT this year. Cost of living in the Philippines will be much more expensive for us Filipinos in the future if the trend remains the same.  Will you be sticking your money in PH banks or will you HODL it elsewhere like #Bitcoin? 🤔  https://t.co/6QwX1TSJya,Philippine Peso has devalued A LOT this year. Cost of living in the Philippines will be much more expensive for us Filipinos in the future if the trend remains the same.  Will you be sticking your money in PH banks or will you HODL it elsewhere like ? 🤔  ,0.0005755424499511719
1158,2021-10-01 12:08:30,Upsie. #Bitfinex 100% manipulated $BTC (#Bitcoin) price and judge agrees on!   What you gonna do?,Upsie.  100% manipulated $BTC () price and judge agrees on!   What you gonna do?,0.828228235244751
1159,2021-10-01 12:08:25,"I almost feel bad for gold bugs. They have the problem figured out mostly, but have the wrong solution. Gold failed as money for a reason. It is expensive to transport over physical space. Bitcoin is better at being gold than gold is. They are too tunnel visioned","I almost feel bad for gold bugs. They have the problem figured out mostly, but have the wrong solution. Gold failed as money for a reason. It is expensive to transport over physical space. Bitcoin is better at being gold than gold is. They are too tunnel visioned",0.0010060667991638184
1161,2021-10-01 12:06:42,@ArthurMbitcoin #Bitcoin #BTC  https://t.co/h95RUmAFpg,    ,0.0063664913177490234
1162,2021-10-01 12:06:27,"🧵/3. A recent study has compared the ownership Gini Coff, for #ETH &amp; #BTC.  Interestingly not only BTC has a lower #Gini (= higher decentralization), but this decentralization is rising. ETH’s ownership decentralization is decreasing since 2019!  https://t.co/5sl21weYEQ  https://t.co/NPr5v0eXGT","🧵/3. A recent study has compared the ownership Gini Coff, for  &amp; .  Interestingly not only BTC has a lower  (= higher decentralization), but this decentralization is rising. ETH’s ownership decentralization is decreasing since 2019!  ://",0.034979820251464844
1163,2021-10-01 12:06:25,"DECENTRALIZATION; A QUICK LOOK INTO #BTC &amp; #ETH 🧵/1. Decentralized systems are composed of subsystems, then to analyze decentralization of a public blockchains, we need to break this study into a blockchain’s subsystems.  https://t.co/5jvjPlvKNf  https://t.co/qtwWb6Pt4W","DECENTRALIZATION; A QUICK LOOK INTO  &amp;  🧵/1. Decentralized systems are composed of subsystems, then to analyze decentralization of a public blockchains, we need to break this study into a blockchain’s subsystems.  ://",0.01054912805557251
1164,2021-10-01 12:06:20,#FF Best2follow👍🌛 @Teaching_Crypto @DonYakka @j0hnnyw00 @CoinLegs @ToolHead8 @WiseAnalyze @JohnHunterGems @THE_FLASH_G @CryptoNewton @0xRadar @BITCOINTRAPPER @CryptoTony__ @futrii  @CryptoWizardd @Teaching_Crypto @RaverCrypto @Mojo_Crypto_BTC @bigchiefcrypto @SatoshiOwl  https://t.co/MIOGGjK8KT, Best2follow👍🌛                      ,0.009311676025390625
1166,2021-10-01 12:05:23,"We have several listing deals in place with some great exchanges for Dogecoin 2.0! #doge2 is the future of finance! Together our community (the best in the world) will stand up to corrupt governments, central banks, and institutions, &amp; we will never stop fighting! $btc $eth $xrp","We have several listing deals in place with some great exchanges for Dogecoin 2.0!  is the future of finance! Together our community (the best in the world) will stand up to corrupt governments, central banks, and institutions, &amp; we will never stop fighting! $btc $eth $xrp",0.9995618462562561
1167,2021-10-01 12:04:51,"If you have 💎🙌, join my telegram! 😉  We talk #NFTs and #Bitcoin! 😃   https://t.co/wpKlYTxqHV","If you have 💎🙌, join my telegram! 😉  We talk  and ! 😃   ",0.003716766834259033
1168,2021-10-01 12:04:40,"@RepCawthorn The Bitcoin Standard.  you'll get there,.  it happens on an individual level."," The Bitcoin Standard.  you'll get there,.  it happens on an individual level.",0.9728317856788635
1170,2021-10-01 12:01:52,$30 REROLL 💸 60 minutes  Must retweet this and follow me,$30 REROLL 💸 60 minutes  Must retweet this and follow me,0.0062056779861450195
1171,2021-10-01 12:01:49,"“If you own #Bitcoin, your best days are ahead of you.” -@jimmysong","“If you own , your best days are ahead of you.” -",0.9979902505874634
1172,2021-10-01 12:01:44,Do I respin on my largest purchase of the month or take my winnings and go home and stop being greedy? I have about 7 extra spins… @fold_app #bitcoin  😣😣😣  https://t.co/Wy6lYyFINS,Do I respin on my largest purchase of the month or take my winnings and go home and stop being greedy? I have about 7 extra spins…    😣😣😣  ,0.010181009769439697
1173,2021-10-01 12:01:36,"Crypto uses less energy than the international transport of all the world’s goods, so we should stop transporting goods before we fuss over bitcoin mines.","Crypto uses less energy than the international transport of all the world’s goods, so we should stop transporting goods before we fuss over bitcoin mines.",0.0003097057342529297
1174,2021-10-01 12:01:26,"If you know, you know.  #Bitcoin  https://t.co/FI2lTDrZ5W","If you know, you know.    ",0.002364516258239746
1175,2021-10-01 12:00:32,How would you like to pay for your favorite munchies via DogeCoin? It could soon be a reality.  @Verifone @dogecoin @BitPay @tacobell   #BSCNews #CryptoNews #Crypto #Doge #Bitcoin  https://t.co/cI5pRDtnYP,How would you like to pay for your favorite munchies via DogeCoin? It could soon be a reality.              ,0.002883434295654297
1178,2021-10-01 11:59:59,Majors for the day telegram sent 6 am #forex #gold #oil #dow #silver #dax #ndx #btc #eth #gbpusd #eurusd  https://t.co/WdB8BTkQFl,Majors for the day telegram sent 6 am             ,0.005224943161010742
1180,2021-10-01 11:59:44,There are 37 new emojis. But the illustrator’s reason behind the new melting face emoji has me dyinggggg 😂  https://t.co/RfLfI0ngNp,There are 37 new emojis. But the illustrator’s reason behind the new melting face emoji has me dyinggggg 😂  ,0.002055823802947998
1181,2021-10-01 11:59:35,"My Bull/Bear Cloud (BBC) applied to the S&amp;P 500.  First time red 🔴 again since March 2020.  As #BTC is affected by the stock market, not a good sign.  https://t.co/3kgzERc0Xb","My Bull/Bear Cloud (BBC) applied to the S&amp;P 500.  First time red 🔴 again since March 2020.  As  is affected by the stock market, not a good sign.  ",0.000476837158203125
1183,2021-10-01 11:59:08,Shill me the next x100 crypto 👀🤑  $VRA $BTC $XRP $ADA $ETH $DOGE $SOL $STRONG $RSR,Shill me the next x100 crypto 👀🤑  $VRA $BTC $XRP $ADA $ETH $DOGE $SOL $STRONG $RSR,0.0027599334716796875
1184,2021-10-01 11:58:36,$LUNA.X looking at $280 by november? The pieces on the chess board are being moved around. There is more than enough liquidity in useless coins to get us to $1k.  #btc #eth  https://t.co/fAWGBqMaPB,$LUNA.X looking at $280 by november? The pieces on the chess board are being moved around. There is more than enough liquidity in useless coins to get us to $1k.     ,0.00025779008865356445
1185,2021-10-01 11:58:32,Top Trader Positions! 👀  Bulls are back? 🔹 $BTC 49% Short!  🔹 $ETH 55% Short! 🔹 $FIL  65% Long! 🔹 $DOT 54% Long!  Trade on #HuobiFutures 👇,Top Trader Positions! 👀  Bulls are back? 🔹 $BTC 49% Short!  🔹 $ETH 55% Short! 🔹 $FIL  65% Long! 🔹 $DOT 54% Long!  Trade on  👇,0.0015461444854736328
1186,2021-10-01 11:58:28,"Don't ya'll forget -- being this early in Bitcoin, crypto, digital assets ... we are pioneers. Revolutionaries. This is all going to change the world ... it's already happening.  And you and I are a part of making world history - Together. 🔄 Retweet if you agree.","Don't ya'll forget -- being this early in Bitcoin, crypto, digital assets ... we are pioneers. Revolutionaries. This is all going to change the world ... it's already happening.  And you and I are a part of making world history - Together. 🔄 Retweet if you agree.",0.9977707862854004
1187,2021-10-01 11:58:21,BTC Daily looks so sexy ~ we will be seeing BTC at 50K soon.  #BTC #bitcoin  https://t.co/rNLTJqDflL,BTC Daily looks so sexy ~ we will be seeing BTC at 50K soon.     ,0.9870108366012573
1188,2021-10-01 11:57:57,$LTCN is leading the pack. Such a great way to get exposure to litecoin from your retirement accounts.  https://t.co/pPmydf0ZUA,$LTCN is leading the pack. Such a great way to get exposure to litecoin from your retirement accounts.  ,0.8839296102523804
1189,2021-10-01 11:57:43,💠💠💠MXS💠💠💠  •°•°•°•○●°•°●○•°•°•°• #mxs A way to live an amazing and vibrant life  一种过上令人惊叹和充满活力的生活的方式 °•°•°•°○●•°•●○°•°•°•°   https://t.co/fWXusN9Ann👈  #epro #mxs #bitcoin  #Ethereum #cryptocurrency #cryptocurrencies #bnb  #shib  https://t.co/WXflbHfwfV,💠💠💠MXS💠💠💠  •°•°•°•○●°•°●○•°•°•°•  A way to live an amazing and vibrant life  一种过上令人惊叹和充满活力的生活的方式 °•°•°•°○●•°•●○°•°•°•°   👈             ,0.9827196598052979
1190,2021-10-01 11:57:03,"Many questions.  How many remittances are being sent via Bitcoin or Lightning outside of Chivo?  How much of Chivo is USD&gt;USD, and how much touches BTC or LN?  How many Salvadorans are withdrawing their Chivo balance immediately into cash or non-custodial BTC?","Many questions.  How many remittances are being sent via Bitcoin or Lightning outside of Chivo?  How much of Chivo is USD&gt;USD, and how much touches BTC or LN?  How many Salvadorans are withdrawing their Chivo balance immediately into cash or non-custodial BTC?",0.0012892484664916992
1191,2021-10-01 11:56:41,"The Iranian government has lifted a temporary ban on #Bitcoin mining that was imposed back in May, Iran International reports.","The Iranian government has lifted a temporary ban on  mining that was imposed back in May, Iran International reports.",0.06403154134750366
1192,2021-10-01 11:56:31,"When the Fed prints money to fund something, one set of people are being stolen from to pay another set of people.  And the people that are being stolen from are some of the poorest and most vulnerable in the world.  #Bitcoin corrects this injustice.","When the Fed prints money to fund something, one set of people are being stolen from to pay another set of people.  And the people that are being stolen from are some of the poorest and most vulnerable in the world.   corrects this injustice.",0.024240553379058838
1193,2021-10-01 11:56:16,$ELA so cutie. &lt;3 LFG #Elastos #Bitcoin #Ethereum $BTC $ETH  https://t.co/eMn1zFVHYG,$ELA so cutie. &lt;3 LFG    $BTC $ETH  ,0.002160191535949707
1194,2021-10-01 11:55:15,IM RIGHT AGAIN..little dip to buy before 100 m mcap incoming ! $klee @KleeKaiETH $saita  $doge $shiba $akita $kishu $hokk #Wolfpack $bsaita $bkishu $bdoge $dog $btc $eth $ada $sol $one $leash $bone $ryoshi $floki $hoge $yooshi #saitama #SaitamaWolfPack #SaitaMas  https://t.co/aYKW8RqvtX,IM RIGHT AGAIN! $klee  $saita  $doge $shiba $akita $kishu $hokk  $bsaita $bkishu $bdoge $dog $btc $eth $ada $sol $one $leash $bone $ryoshi $floki $hoge $yooshi     ,0.004031658172607422
1195,2021-10-01 11:55:13,"The Salvadoran government claims $1M in remittances are received through Chivo every day.  *If true* (big if) this means that the state-run Bitcoin app is transporting about 6% of El Salvador's annual $6 billion in remittances, which adds up to more than 1% of the nation's GDP.","The Salvadoran government claims $1M in remittances are received through Chivo every day.  *If true* (big if) this means that the state-run Bitcoin app is transporting about 6% of El Salvador's annual $6 billion in remittances, which adds up to more than 1% of the nation's GDP.",0.005267620086669922
1196,2021-10-01 11:55:05,WOW.  LTC/BTC 👀   5 minutes until it’s October! 🎃 👻   #Crypto #Litecoin #LTC $LTC  https://t.co/eYvcyPuT3a,WOW.  LTC/BTC 👀   5 minutes until it’s October! 🎃 👻      $LTC  ,0.02218860387802124
1197,2021-10-01 11:55:04,13 colonies started the American Revolution  11 #Bitcoin meet ups will be at the west coast Christmas party  Do the math and run the numbers  https://t.co/KqQ9pYIFpg,13 colonies started the American Revolution  11  meet ups will be at the west coast Christmas party  Do the math and run the numbers  ,0.010729432106018066
1198,2021-10-01 11:54:39,@CryptoWhale Congrats on the new Coinbase position. They’re heavy #bitcoin FYI 😉, Congrats on the new Coinbase position. They’re heavy  FYI 😉,0.013932764530181885
1199,2021-10-01 11:54:29,Join Telegram :  https://t.co/wz4MUOS9Kg The giveaway result is known in the telegram,Join Telegram :  ,0.0055242180824279785
1200,2021-10-01 11:54:14,"$10,000 in $BTC To A Random Person Just Follows &amp; Retweets  Best Of Luck...","$10,000 in $BTC To A Random Person Just Follows &amp; Retweets  Best Of L",0.005791187286376953
1202,2021-10-01 11:52:31,Time to start buying a ton before CEO start buying...  $sbecom  https://t.co/TSO8tZb0n1,Time to start buying a ton before CEO start $sbecom  ,0.0018315315246582031
1203,2021-10-01 11:52:12,"This is actually a worth read.. ✌🏼 I strongly believe @EverRise’s token $RISE will share the huge market capitalisation with BTC, ETH, ADA.. their use-cases are worth to HODL 💪🏼 @TitanEverRise #BNB #cryptocurrencies #BinanceSmartChain #ETH #MATIC #EVEROWN #EVERBRIDGE","This is actually a worth read.. ✌🏼 I strongly believe ’s token $RISE will share the huge market capitalisation with BTC, ETH, ADA.. their use-cases are worth to HODL 💪🏼        ",0.9970453381538391
1204,2021-10-01 11:50:23,@DanDarkPill I hear this is the very moment he invented taproot, I hear this is the very moment he invented taproot,0.9497833251953125
1206,2021-10-01 11:48:45,@marceelias Ozy Media is the WeWork bitcoin of future digital comms.  no worries. you have been busy doing righteousness for democracy., Ozy Media is the WeWork bitcoin of future digital comms.  no worries. you have been busy doing righteousness for democracy.,0.9645197987556458
1207,2021-10-01 11:47:35,"- Panama introduces bill to recognize Bitcoin as global payment method - Ukraine legalizes Bitcoin - The government told us that if you don’t count “beef, pork and poultry, grocery prices are in line with historic norms”","- Panama introduces bill to recognize Bitcoin as global payment method - Ukraine legalizes Bitcoin - The government told us that if you don’t count “beef, pork and poultry, grocery prices are in line with historic norms”",0.2580143213272095
1208,2021-10-01 11:47:10,"Not sure why I keep doing this to myself, but I will be reviewing all three of the newly released @alexgoBtc whitepapers next SubStack  Stay tuned!","Not sure why I keep doing this to myself, but I will be reviewing all three of the newly released  whitepapers next SubStack  Stay tuned!",0.975653350353241
1209,2021-10-01 11:46:49,@BowTiedFellow @BowTiedPatriot @BowTiedMooneeb @BowTiedArcticWo *Bowtied crew assembles*  https://t.co/ijMyT7IMBW,    *Bowtied crew assembles*  ,0.0071173906326293945
1210,2021-10-01 11:46:11,New Month New ₿ ❤,New Month New ₿ ❤,0.9350236058235168
